태양광발전시설명,소재지도로명주소,소재지지번주소,정제WGS84위도,정제WGS84경도,설치상세위치구분명,가동상태구분명,설비용량(KW),공급전압(V),주파수(Hz),설치연도,세부용도,허가일자,허가기관,설치면적(㎥),데이터기준일자
우주3호 태양광발전소,,"경기도 안성시 양성면 방축리 616-3, 617, 617-1, 617-4, 618 나,다동",,,,정상가동,99.36,380,60,2022,사업용,2022-03-10,안성시,,2023-07-06
우주일렉트로닉스 태양광발전소 호,,,,,,정상가동,355,380,60,2014,발전사업용,2014-04-09,화성시,,2023-06-12
우주최강2호태양광발전소,,,,,,정상가동,30,380,60,2021,발전사업용,2021-03-11,화성시,,2023-06-12
우주태양광발전소,,"경기도 안성시 일죽면 화곡리 1003-7(가동, 건물 위)",,,,가동중단,99.65,380,60,2023,,2023-06-14,안성시,,2023-07-06
우주태양광발전소,,,,,,정상가동,97.92,380,60,2018,발전사업용,2018-04-16,화성시,,2023-06-12
우진 태양광발전소,,경기도 안성시 양성면 석화리 116,,,,정상가동,99.65,380,60,2021,사업용,2021-08-31,안성시,,2023-07-06
우진2호 태양광발전소,,,,,,정상가동,20,380,60,2013,발전사업용,2013-09-23,화성시,,2023-06-12
우진ACT(우진ACT발전소),경기도 안성시 원곡면 지문북길 91-10,,,,,정상가동,83.2,380,60,2017,사업용,2017-03-28,안성시,,2023-07-06
우진공업3호태양광발전소,,,,,,정상가동,95.84,380,60,2018,발전사업용,2018-01-30,화성시,,2023-06-12
우진태양광발전소호,,,,,,정상가동,99.96,380,60,2018,발전사업용,2018-04-19,화성시,,2023-06-12
우진호 태양광발전소,,,,,,정상가동,20,380,60,2013,발전사업용,2013-09-23,화성시,,2023-06-12
욱일 태양광발전소,경기도 오산시 경기대로658번길 64 (내삼미동),,37.1817778026,127.0587853653,옥상,정상가동,30,380,60,2018,발전사업용,2018-05-01,오산시,171,2023-05-25
운봉태양광발전소,,,,,,정상가동,26.04,380,60,2015,발전사업용,2015-11-25,화성시,,2023-06-12
운산1호 태양광발전소,경기도 오산시 두곡3길 25,,37.1300022983,127.0425592717,옥상,정상가동,45,380,60,2018,발전사업용,2017-10-17,오산시,237,2023-05-25
운선 태양광발전소,,경기도 안성시 삼죽면 용월리 235-3,,,,정상가동,99.9,380,60,2021,사업용,2021-09-14,안성시,,2023-07-06
운암뜰 태양광발전소,"경기도 오산시 경기대로 317, 운암뜰주유소(SK) (오산동)",,37.1530490000,127.0733220220,옥상,정상가동,15,380,60,2022,발전사업용,2022-01-19,오산시,76,2023-05-25
운영태양광발전소,,,,,,정상가동,8.5,380,60,2019,발전사업용,2019-11-06,화성시,,2023-06-12
운지솔라 북삼1호 태양광발전소,,경기도 연천군 왕징면 북삼리 산77-1,,,,정상가동,2098,22900,60,2018,발전사업용,,경기도,,2022-12-31
운평4리마을회발전소,,,,,,정상가동,15.47,380,60,2021,발전사업용,2021-10-01,화성시,,2023-06-12
운평리태양광발전소,,,,,,정상가동,98,380,60,2018,발전사업용,2018-01-09,화성시,,2023-06-12
운화 태양광발전소,경기도 가평군 상면 수목원로 84-76,경기도 가평군 상면 행현리 38-3,37.7702694523,127.3650059502,,정상가동,49.92,380,60,2021,발전사업용,2021-09-03,가평군,,2023-04-04
울브린코리아태양광발전소,,,,,,정상가동,478.7,380,60,2018,발전사업용,2018-06-21,화성시,,2023-06-12
움말태양광발전소,경기도 남양주시 와부읍 안골로25번안길 37,경기도 남양주시 와부읍 도곡리 837-2,,,,정상가동,198.72,380,60,2021,,2018-05-31,남양주시,,2023-06-02
웃말 태양광발전소,경기도 남양주시 와부읍 안골로25번안길 37,경기도 남양주시 와부읍 도곡리 837-2,,,,정상가동,98.56,380,60,2023,,2021-07-02,남양주시,,2023-06-02
웅진1호태양광발전소,,,,,,정상가동,99.6,380,60,2020,발전사업용,2020-03-26,화성시,,2023-06-12
웅진2호태양광발전소,,,,,,정상가동,49.8,380,60,2020,발전사업용,2020-03-26,화성시,,2023-06-12
웅텍태양광발전소,,,,,,정상가동,199.68,380,60,2022,발전사업용,2022-09-26,화성시,932.97,2023-06-12
워시존,,,,,,정상가동,98.33,380,60,2018,발전사업용,2018-07-12,화성시,,2023-06-12
원 태양광발전소,경기도 이천시 부발읍 황무로1833번길 53,,,,,정상가동,90.27,380,60,2022,발전사업용,2022-08-16,이천시,,2023-06-05
원가1호 태양광발전소,,"경기도 안성시 공도읍 승두리 863-5, 863-6 나동",,,,정상가동,99.84,380,60,2022,사업용,2022-02-11,안성시,,2023-07-06
원가2호 태양광발전소,,"경기도 안성시 공도읍 승두리 863-5, 863-6 나동",,,,정상가동,99.84,380,60,2022,사업용,2022-02-11,안성시,,2023-07-06
원가3호 태양광발전소,,"경기도 안성시 공도읍 승두리 863-5, 863-6 나동",,,,정상가동,88.76,380,60,2022,사업용,2022-07-20,안성시,,2023-07-06
원가네한우농장 태양광발전소1호,경기도 남양주시 진접읍 부마로106번길 58-37,경기도 남양주시 진접읍 부평리 45,,,,정상가동,99.96,380,60,2021,,2018-04-13,남양주시,,2023-06-02
원경 태양광발전소,,"경기도 안성시 금광면 삼흥리 247-1, 247-2, 248",,,,정상가동,99.36,380,60,2017,사업용,2017-12-26,안성시,,2023-07-06
원광정밀 태양광발전소,,경기도 안성시 원곡면 외가천리 33-5,,,,정상가동,370.84,380,60,2018,사업용,2018-10-23,안성시,,2023-07-06
원기연 태양광발전소,경기도 이천시 장호원읍 서동대로 8769-11,,,,,정상가동,18,220,60,2012,발전사업용,2012-03-06,이천시,,2023-06-05
원기연 태양광발전소 2호기,경기도 이천시 장호원읍 서동대로 8769-11,,,,,정상가동,99.8,380,60,2013,발전사업용,2013-06-10,이천시,,2023-06-05
원기연3태양광발전소,경기도 이천시 장호원읍 서동대로 8769-11,,,,,정상가동,90.72,380,60,2017,발전사업용,2016-10-18,이천시,,2023-06-05
원더솔라에너지1호태양광발전소,,,,,,정상가동,99.37,380,60,2023,발전사업용,2023-02-23,화성시,454.28,2023-06-12
원동 태양광발전소,,경기도 안성시 일죽면 고은리 산68-2,,,,가동중단,97.92,380,60,2018,,2018-05-10,안성시,,2023-07-06
원두태양광발전소,경기도 이천시 모가면 진상미로 1487-69,,,,,정상가동,99.36,380,60,2019,발전사업용,2018-12-19,이천시,,2023-06-05
원모태양광발전소,,,,,,정상가동,99.96,380,60,2018,발전사업용,2018-08-13,화성시,,2023-06-12
원안1리에너지자립마을발전소,,,,,,정상가동,11.25,380,60,2020,발전사업용,2020-07-22,화성시,,2023-06-12
원에너지태양광발전소,,,,,,정상가동,99.56,380,60,2020,발전사업용,2020-07-31,화성시,,2023-06-12
원영2호태양광발전소,,,,,,정상가동,49.95,380,60,2019,발전사업용,2019-09-18,화성시,,2023-06-12
원영3호태양광발전소,,,,,,정상가동,94.5,380,60,2020,발전사업용,2020-01-14,화성시,,2023-06-12
원영태양광발전소,,,,,,정상가동,94.35,380,60,2019,발전사업용,2019-09-18,화성시,,2023-06-12
원일 1호 태양광발전소,경기도 남양주시 수동면 비룡로586번길 105,경기도 남양주시 수동면 운수리 30-6,,,,폐기,28.6,380,60,2023,,2022-02-24,남양주시,,2023-06-02
원일 2호 태양광발전소,경기도 남양주시 수동면 비룡로586번길 105,경기도 남양주시 수동면 운수리 30-6,,,,폐기,28.6,380,60,2023,,2022-02-24,남양주시,,2023-06-02
원일2호태양광발전소,,경기도 이천시 장호원읍 선읍리 462-2,,,,정상가동,97.2,380,60,2017,발전사업용,2016-09-02,이천시,,2023-06-05
원일3호 태양광발전소,경기도 이천시 장호원읍 나래천로160번길 92,,,,,정상가동,997.9,22900,60,2020,발전사업용,2017-02-07,이천시,,2023-06-05
원일4호 태양광발전소,,경기도 이천시 장호원읍 와현리 352-4,,,,정상가동,498.96,380,60,2020,발전사업용,2017-02-07,이천시,,2023-06-05
원일5호태양광발전소,,경기도 이천시 장호원읍 선읍리 462-2,,,,정상가동,90.72,380,60,2019,발전사업용,2017-09-27,이천시,,2023-06-05
원일6호태양광발전소,,경기도 이천시 장호원읍 선읍리 산142-1,,,,정상가동,90.72,380,60,2019,발전사업용,2017-09-27,이천시,,2023-06-05
원일7호 태양광발전소,,경기도 이천시 장호원읍 선읍리 462-4,,,,폐기,98.33,380,60,2020,발전사업용,2018-08-21,이천시,,2023-06-05
원일농장태양광발전소,,,,,,정상가동,29.05,380,60,2020,발전사업용,2020-07-13,화성시,,2023-06-12
원일태양광발전소,,경기도 이천시 장호원읍 선읍리 483,,,,정상가동,99,380,60,2015,발전사업용,2014-12-09,이천시,,2023-06-05
원일태양광발전소,,,,,,정상가동,56.98,380,60,2018,발전사업용,2018-11-27,화성시,,2023-06-12
원진태양광발전소,,,,,,정상가동,99,380,60,2021,발전사업용,2021-03-04,화성시,,2023-06-12
원초에너지태양광발전소,,,,,,정상가동,99.75,380,60,2022,발전사업용,2022-02-04,화성시,,2023-06-12
원탑 태양광발전소,,경기도 안성시 서운면 신흥리 220-2,,,,가동중단,50.22,380,60,2020,,2020-09-08,안성시,,2023-07-06
원태양광발전소,,경기도 포천시 창수면 주원리 산145-1,,,,정상가동,2196,22900,60,2019,발전사업용,,경기도,,2022-12-31
원흥1호 태양광발전소,,경기도 가평군 상면 원흥길 52-21,37.8191397514,127.3244909658,,정상가동,99.45,380,60,2022,발전사업용,2021-10-12,가평군,464,2023-04-04
원흥2호 태양광발전소,,"경기도 가평군 상면 원흥길 52-21, 원흥리 507",37.8191397514,127.3244909658,,정상가동,97.11,380,60,2022,발전사업용,2021-10-12,가평군,464,2023-04-04
원흥태양광발전소,,,,,,정상가동,99.96,380,60,2023,발전사업용,2023-01-26,화성시,769,2023-06-12
원희 태양광발전소,경기도 양평군 개군면 소감터길 77-72,경기도 양평군 개군면 계전리 654번지 1호,,,기타,정상가동,97.92,380,60,2019,,2018-04-24,양평군,,2023-06-20
월단1호 태양광발전소,,"경기도 안성시 미양면 법전리 198-2,202",,,,가동중단,98.56,380,60,2019,,2019-05-16,안성시,,2023-07-06
